SMILES,Validity
CCCC(O)c1ccc(NC(=O)O)cc1,valid
OC(C)NNc1ccccc1,valid
OC(CO)c1ccccc1C=O,valid
O=C(NO)c1cccc(Cn2cccc2)cc1Nc1ccccc1,invalid
CCCCCCCCC(c1cncs1,invalid
NCCCNCCCOc1ccc(NC2CCCCO)o1,invalid
CCCCCC(=O)NO,valid
CCCCCCN(CO)CCN1CCCCCS2=CC1,invalid
CCCCCOC(N)CCCCN.Cl,valid
COc1ccc(N(C)F)c(C)c1F,valid
CN(CC)CCCCCC(=O)NO,valid
O=C(C)COCc1ccc(O)cc1,valid
CN(C)CCCCN,valid
COc1cc(C(=O)CSS(=O)(=O)N=C(N)c2ccc(O)c2)on(C)nn1C,invalid
CC(C)P(=O)(O)O,valid
O=C(SCc1ccccc1)c1ccccc1,valid
CCCCC(c1ccccc1)C(S(=O)N(C)C(O)CP(=O)(O)OO,invalid
CCCCNC(=O)Nc1ccccc1Cl,valid
CN(C)CCCC(=O)N(Cc1ccccc1Cl)N,valid
O=C(Cc1ccccc1)NCSCc1ccc2ccccc2c1,valid
CCCCOC(=O)c1ccncc1,valid
CCCc1ccccc(N)c1C(P(=O)(=O)O)O,invalid
CC(C)CCc1ccncc1,valid
CCCCCC1=Sc2cc(C)c(C)n2)ccn1,invalid
CC(C)C(Nc1ccc(C(F)(F)(F)(F)F)cc1)N(C)C(O)P(=O)(O)O,invalid
C=C(c1ccccc1)N(C)CCCSC1CC(S)=S)N1=N=C(NF)N=C1=O,invalid
Oc1ccccc1CC(P(=O)O)P(=O)(F)O,valid
COC(=O)OCc1cc(-c2ccccc2)nnn1CCC,invalid
CCCCCCC(C)c1cccc(O)c1,valid
CS(=O)(CC(P(=O)(O)O)P(=O)(O)O)P(=O)(O)O,valid
Nc1nc2ccc(N2)oc2ncccc2n1,invalid
CCCCCCCCOC(=O)NCc1cccc(O)c1,valid
Cc1cc(O)c(S(=O)(C(=O)O)c2ccccc2)nc1,valid
CC(=O)N(Cc1cncc(S(=O)(=O)O)P(F)(F)F)n1,invalid
O=C(NNC(c1ccccc1)n1cncn1)c1ccccc1Cl,valid
O=C(NCc1cccnc1)NC(O)C(=O)C(-c1ccncn1)c1ccccc1,valid
O=C(NNc1ncccc1C(=O)NO)P(O)O,valid
CCNCC(=O)NCCCc1ccccc1,valid
CCCNCCCCS(=O)(=O)c1ccc(-c2ccccc2)cn1,valid
O=C(NCCc1cc(F)cc(O)c1F,invalid
O=C(O)C(c1ccncc1)NCCc1ccc(O)c(O)c1,valid
O=C(Cn1cccc1)c1ccccc1,valid
COc1cccc(NC(=O)CO)c1,valid
NCCc1ccccn1)NC(c1ccccc1)c1ccc(F)cc1Cl,invalid
O=C(NNC(c1ccccn1)N(Cc1ccc(F)c(-c2ccc(F)cc2)nn1)c1nc2ccccc2n1Cc1ccccc1)NO,invalid
CCCCCOc1ccccc1Oc1ccc(O)c(O)c1,valid
