canonical_smiles,validity
O=C(O)c1ccccc1C(=O)NCCC(O)c1ccc(O)c(O)c1,valid
CC1NC(=O)C(=O)[C@H](C)CC1,valid
COc1ccc(/C=C/C(=O)c2ccccc2)cc1,valid
O=C(O)CCCCCCCC(=O)O,valid
CN(C)CCOc1ccc(C(=O)NCc2ccccc2)cc1,valid
N[C@@H](C[C@@H]1C[C@H](CO)[C@@H](O)[C@@H](O)[C@H]1O,invalid
O=C(O)c1ccc(-c2ccccc2)o1,valid
Cc1c(C)c(C)c2ccccc2c1-c1ccc(-c2ccccc2)o1,valid
O=C(O)c1ccc(CCc2ccc(O)cc2)cc1,valid
COc1ccc(C(=O)Nc2ccc(C(=O)NO)cc2)cc1,valid
C=C1CC(=O)N(Cc2ccccc2)C1.Cl,valid
Cc1ccc(Nc2nc(C#N)nc(N)c3)cc2n1,invalid
C#CCOc1ccc(C(=O)Nc2nc3ccccc3[nH]2)cc1,valid
NC(=S)NNC(=O)c1ccccc1,valid
O=C(O)c1ccccc1O[C@@H]1CCCCN1CCNC(=O)N1CCCCC1.Cl,valid
CC(C)COc1ccc(C(=O)/C=C/c2ccc(OC)cc2)cc1,valid
S=C(CNC(=O)Nc1ccccc1)c1ccccc1,valid
COc1ccc(OCC(=O)Nc2ccc(C(C)C)cc2)cc1,valid
O=C(O)c1ccccc1OCCc1ccccc1,valid
O=C(O)c1ccc(CCc2ccccc2)o1,valid
O=S(=O)(NCCCCNC(=O)c1ccccc1)c1ccccc1,valid
Clc1ccc(Cn2ccnc2-c2ccccc2)s1,valid
O=C(Nc1ccccc1)c1ccc(O)c(O)c1,valid
O=C(O)CC(=O)Nc1ccc(Cl)cc1,valid
COc1ccc(/C=C/c2ccc(OCc3ccccc3)cc2)cc1,valid
O=C(O)c1ccccc1OP(=O)(O)O,valid
CN(C)CCCCCNc1ccncc1,valid
COc1ccc(/C=C/C(=O)c2ccccc2O)cc1,valid
C#Cc1ccc(/C=N/Nc2cc(Cl)ccc2)cc1,valid
NNC(=O)c1ccccc1.Cl,valid
COc1ccc(Nc2nc(N)ccc3)cc2c1,invalid
C=C1CCN(c2nc3ccccc3[nH]2)C1,valid
CN(C)CCC[N+]1CCC[C@H]1c1ccc(C(=O)O)cc1,valid
O=C(O)C(=O)Nc1ccc(Cn2ccnc2)cc1,valid
Cl.N[C@H]1CC[C@@](O)[C@@H]1O,valid
O=Nc1[nH]c2ccccc2n1-c1ccccc1Cl,invalid
O=C(O)C(=O)NCCc1ccccc1,valid
COc1ccc(C(=O)/C=C/c2ccccc2)cc1,valid
Nc1ccc(/C=N/Nc2ccc(O)cc2)cc1,valid
CN(C)CCCOc1ccc(-c2ccc(-c3ccccc3)cc2)cc1,valid
COc1ccc(Nc2nc3ccccc3s2)cc1,valid
NN=C(O)c1ccccc1SSc1ccccc1,valid
Cc1cc(C)c(NC(=O)Cc2ccccc2)cc1,valid
O=C(Nc1ccccc1)c1ccccc1,valid
Cc1cc(C)c(C(=O)/C=C/c2ccc(OCc3ccccc3)cc2)cc1,valid
O=C(O)CCCCCCNCCOc1ccccc1,valid
CC(C)CCC[N+]1CCCC(=O)N1.Cl.Cl,valid
C/C(=N\NC(N)=S)c1ccc(F)cc1,valid
CCCCCCCNC(=O)c1sc(-c2ccccc2)o1,invalid
NNC(=O)C(=O)Nc1cccc(O)c1,valid
Cc1ccc(Nc2ccc(Cl)cc2)cc1C#N,valid
C=C(N)C(=O)NCC(O)COc1ccccc1,valid
CC(C)CSc1nc(N)nc(N)n1,valid
Cc1ccc(C(=O)/C=C/c2ccc(OCc3ccccc3)cc2)cc1,valid
O=C(O)C(=O)c1ccccc1,valid
Cc1ccc(C(=O)OCc2ccc(-c3ccccc3)cc2)nc1O,valid
COc1ccc(C(=O)/C=C/c2ccc(OC)cc2OC)cc1,valid
Nc1nc(N)nc(Nc2ccccc2)n1,valid
COc1ccc(C(=O)NNC(=O)c2ccccc2)cc1,valid
CCN(C)CCCCNc1nc(N)nc(N)n1,valid
Cn1c(CCO)c2ccc(C(=O)NNC(=O)c3ccccc3)cc2OC1CO,invalid
COc1ccc(-c2ccc(/C=N/NC(N)=S)cc2)cc1,valid
O=C(O)c1ccccc1C(=O)Nc1ccccc1,valid
Cc1cc(C)cc(C(=O)NCCc2ccccc2)n1,valid
COc1ccc(/C=C/O)cc1,valid
COc1ccc(C(=O)/C=C/c2ccc(OC)cc2O)cc1,valid
CC(C)c1ccc(-c2[nH]c3ccccc3c2C#N)cc1,valid
CCc1ccc(OCC(=O)NO)cc1,valid
COc1ccc(/C=C/c2ccccc2)cc1,valid
Nc1nc(SCCc2ccccc2)ccn1,valid
Cc1cc(C)c(Cn2cc(-c3ccc(O)cc3)nc2-c2ccccc2)s1,valid
S=C(N/N=C/c1ccc(O)cc1)OCc1ccccc1,valid
CN(C)CCCNCc1ccc(O)c(O)c1,valid
Cc1cc(C)c(C2CC(=O)c3ccccc3[nH]2)cc1,valid
Cc1ccc(CC(=O)NO)cc1,valid
COc1ccc(/C=C/c2ccc(OC)cc2O)cc1,valid
CS(=O)(NCCCNC(=O)c1ccccc1)c1ccccc1,valid
CC(C)CC(=O)Nc1ccc(C(F)(F)F)cc1,valid
C=CCOc1ccc(C(=O)/C=C/c2ccc(OCc3ccccc3)cc2)cc1,valid
Nc1ccc(NS(=O)(=O)c2ccccc2)cc1,valid
CC(=O)NCCc1c[nH]c2ccccc12,valid
O=C(O)c1ccccc1N1CCCCN1CCNC1CCCC1.Cl,valid
C=CC(=O)NC(=O)c1ccccc1,valid
O=C(O)c1ccccc1OCCn1ccnc1,valid
NS(=O)(=O)c1ccccc1C(=O)Nc1ccc(Cl)cc1,valid
Clc1ccc(CCc2ccccc2)o1,valid
O=C(O)C(=O)N[C@H]1CCCc2c3ccccc3c2O1,valid
Cc1ccc(Nc2nc(N)ccc3)cc2c1O,invalid
CN(C)CCCCC(=O)NCc1ccc(F)cc1,valid
COc1ccc(-c2[nH]c3ccc(C#N)cc3)ccc2c1,invalid
COc1ccccc1C(=O)NCC(O)CNC(=O)c1ccccc1,valid
Cc1cccc(C)c1NC(=O)Nc1ccccc1,valid
C=C(C)CCNC(=O)c1ccccc1O,valid
Nc1ccc(Nc2ccc(Cl)cc2)nc1SCC=N/N=C/c1ccc(O)c(O)c1,valid
Cc1ccc(C(=O)Nc2ccc(Cl)cc2)cc1O,valid
COc1ccc(/C=C/c2ccc(OC)c(OC)c2)cc1,valid
CN(C)CCCCNc1ncc(C(F)(F)F)cc1,valid
O=[N+]([O-])c1ccc(/C=C/C(=O)c2ccco2)cc1,valid
CC1CN(C)CCC1.Cl,valid
CN(C)CCCCC#CCOc1ccc(C(=O)O)cc1,valid
O=C(O)c1ccccc1OCCc1ccc(O)c(O)c1,valid
Cc1ccc(C(=O)Nc2ccc(Cl)cc2)cc1Cl,valid
O=C(O)C(c1ccccc1)c1ccc(F)cc1,valid
COc1ccc(C(=O)/C=C/c2ccc(OC)cc2OC)c(OC)c1,valid
COc1ccc(C(=O)/C=C/c2ccc(OC)cc2)cc1,valid
O=C(O)c1ccccc1C(=O)NCCc1ccccc1,valid
COc1cccc(/C=C/c2ccc(OC)cc2)c1,valid
O=C(O)c1ccccc1OCCSc1ccccc1,valid
C=C1CCN(Cc2ccc(F)cc2)CC1,valid
Cc1ccc(C(=O)Nc2ccc(Cl)cc2)cc1,valid
