canonical_smiles,validity
COc1ccc(/C=N/NC(=O)c2ccccc2)cc1,valid
CN(C)CCCS,valid
O=C(NNC(=O)c1ccccc1)Nc1cccc(Cl)c1,valid
Cc1ccc(SSc2ccc(Cl)cc2)c(O)c1,valid
CCN(Cc1ccccc1)/C(=N\O)c1cccnc1,valid
O=C(/C=C/c1ccc(O)cc1)c1ccccc1O,valid
COC(=O)c1ccc(NC(=O)NO)cc1,valid
O=C(O)c1ccccc1O,valid
CCN(Cc1ccc(Cl)cc1)c1ccc(Cl)cc1,valid
CCN(C)CCCNc1ccc(C(=O)/C=C/c2ccccc2)cc1,valid
CN(C)Cc1csc(-c2ccccc2)n1-c1ccccc1,invalid
COc1ccccc1/C=N/NC(=O)c1ccccc1O,valid
CCCP(=O)(O)O,valid
CCCCCCCCCCCCCCCCCc1ccc(O)c(O)c1,valid
COc1ccc(/C=N/NC(=O)c2ccccc2Cl)cc1,valid
Cl.O=C(O)CCCc1ccc(O)c(O)c1,valid
CC(C)(C)NC(=O)Nc1ccc(C(=O)Nc2ccc(Cl)cc2)cc1,valid
O=C(/C=C/c1ccc(O)c(O)c1)C(=O)O,valid
COc1ccc(/C=C/C(=O)c2ccc3ccccc3n2C)cc1,invalid
CCCCCCOc1ccc(C(=O)Nc2ccc(C)cc2)cc1,valid
Clc1ccc(C(=O)Nc2ccc(C(F)(F)F)cc2)c(N)c1,valid
CCCCOC(=O)c1ccc(NC(=O)c2ccccc2)cc1,valid
COc1ccc(/C=N/NC(=O)c2ccccc2)cc1,valid
O=C(/C=C\C#N)c1ccc(F)cc1F,valid
O=C(O)CCc1ccc(O)c(O)c1,valid
Clc1ccccc1/C=N/N=C(\O)Nc1cccnc1,valid
CCCCCCCCCc1ccc(O)c(O)c1,valid
NC(=O)c1ccsc1NC(=O)Cn1ccnc1,valid
COc1ccc(C(=O)/C=C/c2ccc(OC)cc2)c(OC)c1,valid
CCCCSC(C)N(C)C,valid
CN(C)CCNS(=O)(=O)c1ccccc1C#N,valid
CC(C)CCNC(=O)c1ccc(Cl)c(Cl)c1,valid
CCCCCCCCCc1ccc(C(=O)NO)cc1,valid
COC(=O)CN1C(=O)CS1=O,valid
COc1ccc(/C=N/NC(=O)c2ccccc2)cc1,valid
CN(C)c1nc2ccccc2c(N)n1-c1ccccc1,invalid
CCCCCCCCCCCOC(=O)c1ccc(C)c(C)c1,valid
CCOC(=O)c1ccc(NC(=O)NO)cc1,valid
Cn1c(-c2cccnc2)cs1,valid
COc1ccc(/C=C/C(=O)c2ccc(C#N)cc2)cc1,valid
CC(C)(C)c1sc(NC(=O)c2ccccc2)c(O)c1O,valid
COc1ccc(/C=C/C(=O)c2ccc(C)cc2)c(OC)c1,valid
CCOC(=O)c1ccc(NC(=O)Nc2ccc(C)cc2)cc1,valid
C#CCOc1ccc(/C=N/NC(=S)Nc2ccccc2)cc1,valid
CCCCCCc1oc(Cl)c(Cl)c1Cl,valid
O=C(/C=C/c1ccc(O)c(O)c1)c1ccccc1O,valid
O=C(NNC(=O)c1ccccc1)c1ccnc2ccccc12,valid
COc1ccc(/C=C/C(=O)c2ccc(OC)cc2)cc1,valid
COc1ccc(C(=O)/C=C/c2ccc(OC)cc2)cc1,valid
COc1ccc(NC(=O)c2ccc(NC(=O)c3ccccc3)cc2)cc1,valid
O=C(N/N=C/c1ccc(F)c(O)c1)c1ccccc1O,valid
Cc1ccccc1NC(=O)c1ccccc1Cn1ccnc1,valid
O=C(O)Cc1ccc(O)c(O)c1,valid
COc1ccc(C(=O)/C=C/c2cccc(OC)c2)cc1,valid
O=C(/C=C/c1ccc(Cl)cc1)c1ccccc1F,valid
COc1ccc(Nc2nc(C(N)=O)cs2)cc1,valid
CCCCCCOC(=O)c1ccccc1C(=O)Nc1ccccc1C#N,valid
CCCCN(CCC)Nc1ccc(C(=O)O)cc1,valid
Cc1ccc(C(=O)NCCCCCCCCN2CCCCCC2)cc1,valid
CCCCCCc1ccc(-c2ccc(C)cc2)o1,valid
O=C(CS)Nc1ccccc1O,valid
COc1ccc(/C=C/C(=O)c2cccs2)cc1,valid
CCOC(=O)c1ccc(OCC(=O)Nn2ccnc2)cc1,valid
CN(C)c1ccc(Oc2ccccc2)c(O)c1,valid
COc1ccc(/C=C/C(=O)c2ccc(C)cc2)c(OC)c1,valid
O=C(O)CCCCCNC(=O)c1ccc(Cl)cc1,valid
COc1ccc(C(=O)/C=C/c2ccc(OC)cc2)c(O)c1,valid
O=C(O)c1ccccc1O,valid
CCS/N=C(\N)N,valid
COc1ccc(/C=N/NC(=O)c2ccccc2OC)c(OC)c1,valid
O=C(O)Cc1ccccc1O,valid
CCCCn1c(S)nc2ccccc12,valid
CCCCCc1ccc(O)c(O)c1,valid
COC(=O)c1ccccc1NC(=O)c1ccccc1Cl,valid
CCCCC(C)OC(=O)Nc1ccc(C(F)(F)F)c(F)c1,valid
COc1ccc(/C=C/C(=O)c2ccc(OC)cc2)c(OC)c1,valid
O=C(O)Cc1ccc(O)c(O)c1,valid
CCCN(Cc1ccc(Cl)cc1)C(=O)Nc1ccccc1O,valid
COc1ccc(/C=C/C(=O)c2ccccc2)cc1,valid
CCCCCCCCCCCCCCOC(=O)Cc1ccc(O)c(O)c1,valid
O=C(O)CCc1ccc(O)c(O)c1,valid
COc1ccc(/C=C/C(=O)c2ccccc2)cc1,valid
COc1ccc(/C=N/NC(=S)Nc2cccc(C)c2)cc1,valid
COc1ccc(/C=N/NC(=O)c2ccccc2)cc1,valid
COc1ccc(/C=N/NC(=O)c2ccccc2C)c(OC)c1,valid
COC(=O)c1ccccc1NC(=O)CS,valid
CCN(C)CCCNC(=O)c1ccc(Cl)cc1,valid
COc1ccc(/C=C/C(=O)c2ccc(O)cc2)c(O)c1,valid
COc1ccc(C(=O)/C=C/c2ccc(C)cc2)cc1,valid
COC(=O)c1ccccc1C/N=C/c1ccccc1O,valid
CCCCCCCN(CC)CCOc1ccc(C(=O)NCCCCC)cc1,valid
COc1ccc(/C=C/C(=O)c2ccc(OC)cc2)cc1,valid
COc1ccc(/C=C/C(=O)c2ccc(OC)cc2)c(OC)c1,valid
CCCCc1noc(C(=O)NO)n1CC(=O)NC1CCOC1=O,invalid
CCc1coc(/C=N/NC(=O)c2ccccc2)n1O,invalid
O=C(NN=C(/N=C/c1ccc(O)cc1)c1ccccc1O,invalid
O=C(NNC(=O)c1ccccc1)Nc1ccc(-c2ccccc2)nc1,valid
COc1ccc(/C=C/C(=O)c2cccc(O)c2)c(O)c1,valid
COc1ccc(C(=O)NC(C)=O)cc1N,valid
COc1ccc(/C=N/NC(=O)c2ccccc2)cc1,valid
CCCCc1oc(C(=O)Nc2ccc(C)cc2)cc1OC,valid
COC(=O)c1oc2ccccc12,invalid
Clc1ccccc1CSc1cc(N)nc2ccccc12,valid
O=C(/C=C/c1ccc(O)c(O)c1)c1ccccc1O,valid
CCc1ccc(C(=O)NCc2ccc(O)c(O)c2)cc1,valid
Cc1ccc(Nc2nc(S)nc3ccccc3n2)cc1,invalid
COc1ccc(/C=C/C(=O)c2ccc(OC)cc2)cc1,valid
COC(=O)c1ccccc1NC(=O)c1ccccc1Cl,valid
O=C(O)c1ccc(-c2ccc(NC(=O)c3ccccc3)cc2)cc1,valid
CCC#CCO/C=C/C(=O)N1CCOC1=O,valid
O=C(NN=C(\Nc1ccccc1)c1ccccc1F)c1ccccc1,valid
COC(=O)c1ccc2oc(=O)c(=O)c(O)c1=O,invalid
C#CCn1c(S)nc2ccccc12,valid
CCCCCOc1ccc(/C=C/C(=O)c2ccc(NC(=O)c3ccccc3)cc2)cc1,valid
O=C(O)CCc1ccc(O)c(O)c1O,valid
CCOC(=O)c1ccc(Nc2nc(N)nc(N)s2)cc1,invalid
Cl.O=C(O)CCCCCCCCc1cncc(-c2ccccc2)n1,valid
CCCCC1CCC(C#N)CCC1,valid
COC(=O)c1ccc(NC(=O)c2ccccc2)c(O)c1,valid
COC(=O)c1ccccc1O,valid
COC(=O)c1ccc(NC(=O)c2ccccc2)cc1,valid
CCCCc1ccc(O)c(P(=O)(O)O)c1,valid
CCCN(CC)CCN.Cl,valid
COc1ccc(OC)c(/C=N/NC(=O)c2ccccc2)c(O)c1,invalid
CSc1cc(N)nc(O)c1CS,valid
C#CCOC(=O)/C=C/c1ccccc1O,valid
COc1ccc(/C=N/NC(=O)c2ccccc2)cc1,valid
COc1ccc(/C=C/C(=O)c2ccc(OC)cc2)cc1,valid
COc1ccc(/C=N/NC(=O)CCSC(C)=O)c(C)c1,valid
CCCc1ccc(NC(=O)CSC(C)=O)c(O)c1,valid
O=C(/C=C/c1ccc(O)c(O)c1)c1ccccc1O,valid
O=C(NNC(=O)c1ccccc1O)c1ccccc1O,valid
CCCCCCOC(=O)c1ccccc1,valid
COC(=O)c1ccc(Nc2ccc(C(=O)NCCN(C)C)cc2)cc1,valid
Cc1ccc(OCc2ccc(C(=O)O)c(O)c2)c(O)c1,valid
COC(=O)c1ccc(NC(=O)NO)cc1N.Cl,valid
CCCCCc1ccc(O)c(O)c1,valid
O=C(O)CCCCCCCS,valid
CN(C)CCNC(=O)c1ccccc1C#N,valid
CCNS(=O)(=O)Cc1ccccc1Cl,valid
CCc1ccc(C(=O)/C=C/c2ccc(O)cc2)cc1,valid
O=C(NCc1ccc(O)cc1)c1ccc(O)c(O)c1O,valid
COc1ccc(/C=C/C(=O)c2ccc(OC)cc2)cc1,valid
COc1ccc(C(=O)NC(=O)c2ccccc2)cc1,valid
CCCOC(=O)c1ccc(NC(=O)c2ccc(C)cc2)cc1,valid
COc1ccc(C(=O)/C=C/c2ccc(OC)cc2)c(O)c1,valid
O=C(/C=C/c1ccc(Cl)c(Cl)c1)NO,valid
Cl.O=C(O)CCc1ccc(O)c(O)c1,valid
CC(C)c1ccc(NC(=O)/C=C/c2cccc3ccccc23)cc1,valid
O=C(Cc1ccccc1)Nc1cc(Cl)ccc1Cl,valid
Cc1ccc(Nc2nc(C(C)(C)C)cc(O)c2OC)cc1,valid
COc1ccc(/C=N/NC(=O)c2ccccc2)c(O)c1,valid
CCC/C(=N\O)c1ccccc1F,valid
COc1ccc(C(=O)/C=C/c2ccc(OC)cc2)cc1,valid
CCCCSC(C)=C/C=C\C(=O)c1ccc(Cl)cc1,valid
CCCCCc1nc(N)nc2ccccc12,valid
CCCCCC1COC1=O,valid
COC(=O)c1ccc(NC(=O)c2ccc(N)cc2)cc1,valid
COc1ccc(/C=N/NC(=O)c2ccccc2)cc1,valid
COc1ccc(/C=N/NC(=O)c2ccccc2)cc1,valid
COC(=O)c1ccccc1CNc1ccccc1,valid
CCCCCCCOc1ccc(/C=C/C(=O)c2ccc(OC)cc2)cc1,valid
O=C(Nc1ccccc1)N/N=C/c1ccccc1O,valid
Cc1ccc(C(=O)NCCCNCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCNCCCCCCCCCCNCCCCCCCNCCCCCCCCCCCCCCCCCNCCCCCCCNCCCCCCO)cc1,valid
O=C(/C=C/c1ccc(O)cc1)c1ccccc1O,valid
CN(C)CCCNC(=O)c1cccc2ccccc12,valid
COc1cccc(/C=N/NC(=O)c2ccccc2)c(O)c1,invalid
CCc1ccc(Oc2ccc(C(=O)NCCN(C)C)cc2)cc1,valid
COc1ccc(/C=C/C(=O)c2ccc(OC)cc2)cc1,valid
C#CCOc1ccc(/C=C/C(=O)c2ccc(OC)cc2)c(OC)c1,valid
COC(=O)c1ccccc1-c1nnc(Cl)cc1O,valid
CCCOC(=O)c1ccc(NC(=O)c2ccccc2)cc1,valid
CCCCOC(=O)c1ccc(NC(=O)Nc2ccc(C)cc2)cc1,valid
CN(C)CCCOCCN.Cl,valid
CCCCS/N=C(\O)CN.Cl.Cl,valid
COc1ccc(C(=O)N/N=C/c2ccc(OC)cc2)cc1,valid
CCCCCCN(C(=O)c1ccc(Cl)cc1)P(=O)(O)O,valid
O=C(O)c1ccccc1NC(=O)c1ccccc1Cl,valid
CCOC(=O)c1ccc(/C=C/C)cc1,valid
O=C(O)COCc1ccc(O)c(O)c1,valid
Cn1c(-c2ccc(C#N)cc2)nc2ccccc21,valid
COc1ccc(/C=C/C(=O)c2ccc(OC)cc2)cc1,valid
O=C(O)CCc1ccc(O)c(O)c1,valid
COc1ccc(/C=C/C(=O)c2ccc(OC)cc2)cc1,valid
CCOC(=O)c1ccc(-c2cccnc2)cc1,valid
C#CCOc1ccc(C(=O)Nc2ccc(C)cc2)cc1,valid
