disc_loss,gen_loss,valid
0.69738722,1.15852427,0.02
0.23383799,-4.01097965,0.0
0.04292502,0.79418868,0.03
0.00702529,-0.15746461,0.14
0.01574175,0.22207528,0.08
0.0039141,0.00193376,0.09
0.0300383,-0.04787258,0.06
0.00552681,0.17580704,0.04
0.00537377,-0.16845562,0.07
0.00143724,-0.10243212,0.05
0.00341556,0.12107533,0.05
0.00047034,-0.09414044,0.03
0.01540486,-0.10632857,0.04
0.00109082,-0.05116373,0.04
0.00459421,0.41004258,0.01
0.00378867,0.14420217,0.02
0.00010583,-0.08297262,0.03
7.487e-05,-0.0419189,0.02
0.0003589,-0.04667303,0.03
0.00716799,-0.22910021,0.06
0.00454581,-1.08012402,0.11
0.00095962,-0.09774516,0.1
0.06313824,-0.36291939,0.09
0.00047072,-0.27870709,0.01
0.00835563,0.37761116,0.03
0.00092443,-0.05040459,0.02
0.04656492,-0.06491023,0.03
0.00799904,-0.00439233,0.11
0.00031229,-0.14997676,0.03
0.00624461,0.68832552,0.03
0.00046262,-0.09154515,0.02
0.00039691,-0.07651667,0.02
0.00015572,-0.07512152,0.02
0.03732083,-0.37082133,0.11
0.00042408,-0.0603126,0.03
0.00025727,-0.13620961,0.02
0.00037553,-0.20482713,0.06
0.0039281,-0.17053625,0.04
0.00249965,-0.21206714,0.06
0.0017615,-0.09868468,0.03
0.00023296,-0.22534193,0.01
0.00365304,-0.15691456,0.02
0.00078898,-0.08432466,0.03
0.00059391,-0.10593893,0.05
6.528e-05,-0.09725605,0.03
0.00022958,-0.08543886,0.01
0.00117531,-0.29493102,0.02
0.00165963,-0.25842974,0.03
0.00011426,-0.12640208,0.01
0.00181239,-0.20644914,0.01
0.01393871,-0.12785125,0.0
0.00108872,-0.02474267,0.04
2.001e-05,-0.06472346,0.0
6.45e-06,-0.06833307,0.01
1.142e-05,-0.04042049,0.0
1.33e-06,-0.04163376,0.0
1.74e-06,-0.0409314,0.02
6.02e-06,-0.0412203,0.01
5.13e-06,-0.0411411,0.03
1.77e-06,-0.04286876,0.01
5.38e-06,-0.04327437,0.0
2.79e-06,-0.06630687,0.0
0.00106524,-0.14995144,0.14
4.705e-05,-0.16851299,0.09
0.02881686,-0.43802226,0.11
0.00038415,-0.20544831,0.02
0.02882181,-0.17331359,0.06
0.0373981,0.12532602,0.04
0.0507998,-0.66247392,0.03
0.00551964,-0.4319534,0.56
0.11399244,1.21755099,0.07
0.00172053,-0.05015236,0.06
0.00745399,-0.13729304,0.04
0.00626741,-0.6626668,0.01
0.01123045,-0.27993372,0.11
0.00809546,-0.02188388,0.2
0.00051567,-0.23080793,0.04
0.02982871,-0.0905324,0.04
0.01460682,-0.0660757,0.04
0.00200096,-0.04182118,0.07
0.007246,0.29510006,0.1
0.0008905,-0.30029568,0.03
0.01771401,0.08832246,0.05
0.00074714,-0.06296229,0.17
0.00607691,0.25448212,0.1
0.00173792,-0.13144109,0.1
0.01859514,0.02232024,0.11
0.00379248,-0.21049927,0.17
0.00465653,-0.27618894,0.02
0.0024945,-0.18464109,0.07
0.00525539,0.22074647,0.13
0.01178662,0.22671573,0.03
0.02904265,0.01666,0.37
0.00735251,-0.08625009,0.12
0.04984144,0.57484746,0.08
0.03176283,-0.19013879,0.08
0.01014014,0.41065702,0.18
0.00338949,-0.05279268,0.24
0.02329168,0.08235355,0.11
0.00184549,-0.06187462,0.12
0.00133007,0.01791836,0.22
0.00804934,-0.41134512,0.14
0.00341224,-0.1999594,0.11
0.02183007,1.00326741,0.05
0.01808447,0.14865094,0.21
0.00115827,-0.08294383,0.02
0.0126837,-0.18121785,0.14
0.01040618,-0.03240795,0.05
0.00169615,-0.1436609,0.08
0.0022059,-0.17027436,0.08
0.06977005,0.98996925,0.03
0.00143607,-0.09840749,0.09
0.01162566,-0.11699149,0.08
0.00083978,-0.46734998,0.09
0.06160837,-0.07719917,0.22
0.05203509,2.08009958,0.12
0.01746317,-0.20280489,0.16
0.00945681,0.70376569,0.06
0.03351979,0.24681571,0.05
0.00786449,-0.07302029,0.08
0.00606959,-0.46619084,0.03
0.01626241,-0.46908432,0.05
0.00460189,-0.07940902,0.03
0.00310222,-0.26839757,0.11
0.03388824,1.28019047,0.05
0.01025786,-0.11245727,0.05
0.01178748,0.25140506,0.12
0.00643196,-0.30263734,0.16
0.0190387,-0.29060364,0.07
0.00758445,0.11480577,0.22
0.01958848,-0.32915276,0.13
0.01806086,-0.18314357,0.14
0.03973077,-0.15771073,0.14
0.01687444,0.3731001,0.06
0.01205072,0.09391248,0.04
0.01310854,-0.32309332,0.11
0.01421369,0.14723814,0.16
0.01017976,0.36977947,0.17
0.02031651,-0.02751292,0.18
0.0460984,1.54274189,0.06
0.01751984,-0.27521712,0.15
0.02170116,0.39056516,0.28
0.00357122,-0.23204948,0.08
0.02236612,1.09233832,0.1
0.01739301,-0.41594529,0.11
0.0169595,-0.19083028,0.1
0.01320265,-0.33320647,0.14
0.04346262,-0.71276331,0.1
0.01643603,-0.20115562,0.1
0.02002107,-0.13812654,0.09
0.00685994,-0.21096149,0.11
0.02204042,-0.06735931,0.19
0.00921842,-0.37885255,0.18
0.03302517,-0.1382295,0.04
0.00168695,-0.21912152,0.18
0.02500736,-0.0229327,0.17
0.02016373,-0.05334264,0.21
0.01319844,-0.23196012,0.07
0.05741524,0.00808828,0.16
0.01620245,0.19670464,0.09
0.02208345,0.23982596,0.16
0.01760049,-0.14804521,0.1
0.02190034,0.13956037,0.12
0.01268991,-0.2258306,0.05
0.02023325,-0.31368002,0.02
0.03944518,0.0751491,0.1
0.03833371,-0.1342057,0.11
0.01363373,-0.29182082,0.13
0.02198336,0.11753643,0.13
0.00229745,-0.26062137,0.14
0.01984003,0.11552837,0.14
0.02587683,-0.03321156,0.19
0.01963906,0.84387308,0.13
0.03259971,0.10745212,0.11
0.04089123,0.90132868,0.27
0.00655003,-0.19852763,0.17
0.03450648,0.13009578,0.15
0.05838094,1.50670421,0.1
0.04086661,0.59114945,0.13
0.02327624,0.08903087,0.28
0.03003088,0.49108562,0.21
0.04510832,-0.75479048,0.19
0.01763653,0.3809351,0.17
0.03301997,0.21227753,0.39
0.03875492,0.6078161,0.3
0.04482322,0.02839866,0.16
0.05349442,0.4931393,0.26
0.02694805,-0.20652254,0.18
0.01541613,-0.59623301,0.32
0.0121097,0.10847957,0.1
0.02965531,-0.44962031,0.17
0.03189543,0.84684563,0.13
0.0156735,-0.7035659,0.24
0.02242645,0.01354853,0.25
0.06574208,0.0538137,0.28
0.04046645,-0.1163073,0.21
0.02575758,-0.1788855,0.3
0.03446305,-0.45245939,0.22
0.01760067,-0.30010587,0.35
0.0333422,0.12693752,0.39
0.06164538,-0.16622402,0.21
0.02863221,0.16312248,0.18
0.01619036,-0.45774928,0.23
0.03815867,0.04167659,0.3
0.02159495,-0.4440214,0.15
0.06184772,0.29838508,0.22
0.03179003,-0.06090694,0.29
0.01817967,0.1796838,0.52
0.0409496,0.4094539,0.39
0.02277204,0.00901495,0.36
0.02789321,-0.46375313,0.3
0.02771938,-0.28824273,0.27
0.03044716,-0.64820921,0.24
0.04968873,0.14389685,0.35
0.04521178,0.05010814,0.32
0.03927707,-0.33367124,0.28
0.01926512,-0.53122735,0.42
0.02326424,0.19467688,0.22
0.02519922,0.14901225,0.23
0.03395194,-0.40817553,0.32
0.02338372,-0.15017766,0.36
0.00846025,-0.49109238,0.37
0.02947532,-0.31989658,0.43
0.01929383,-0.31606072,0.59
0.09046549,1.14949214,0.36
0.02339588,-0.32795379,0.35
0.01853748,-0.74959606,0.31
0.02539591,-0.32604358,0.27
0.01395401,-0.40614441,0.18
0.05577625,0.49728459,0.44
0.01553567,-0.16517401,0.31
0.01626287,-0.26044035,0.38
0.03431615,-0.33322668,0.44
0.04422917,-0.3731969,0.29
0.05318155,0.0374145,0.3
0.03433723,0.15654644,0.24
0.08120295,0.66086411,0.39
0.02857414,-0.25846648,0.2
0.02992315,0.31326187,0.52
0.04708619,0.59069997,0.38
0.04028551,0.4022114,0.51
0.05898312,-0.29361436,0.44
0.03789175,-0.36205497,0.32
0.05654684,-0.08677071,0.41
0.03786041,-0.30712709,0.26
0.04541261,0.19517265,0.37
0.07989198,1.68287468,0.22
0.01769814,-0.32448637,0.34
0.04787818,0.28811216,0.41
0.0374606,-0.3481805,0.36
0.05587418,-0.87021387,0.38
0.04570831,0.40422589,0.42
0.05253304,-0.44394439,0.52
0.0227987,-0.97968799,0.44
0.02666401,-0.10958039,0.5
0.0529363,0.33060324,0.47
0.02262774,-0.60395879,0.08
0.03075423,-0.35078382,0.23
0.03197528,-0.25169381,0.34
0.11412983,-0.59891462,0.46
0.0765871,-0.4965975,0.5
0.02434604,-0.29360586,0.49
0.01290859,-0.4397409,0.37
0.03121665,-0.10171001,0.54
0.05320489,-0.10530644,0.57
0.04892518,0.04061625,0.33
0.04312553,-0.38192084,0.46
0.0614258,-0.34127703,0.48
0.03503381,-0.37515059,0.67
0.04519407,-0.36809102,0.47
0.11675007,0.37001559,0.51
0.16005798,0.92747086,0.59
0.04974419,0.01348327,0.65
0.05177712,-0.16702946,0.46
0.05800444,0.1409612,0.55
0.08788459,-0.20141597,0.66
0.04021833,-0.92638433,0.5
0.06617547,-0.21489814,0.4
0.03837806,1.23899174,0.42
0.03565358,-0.53340304,0.37
0.05400824,-0.56299186,0.53
0.03305789,-0.11888598,0.46
0.02726457,-0.2960566,0.54
0.06354628,-0.39262187,0.6
0.07408465,0.22338702,0.44
0.02522553,-0.35181993,0.52
0.09545978,-0.7422576,0.69
0.021639,-0.50107801,0.53
0.05573237,-0.01875223,0.53
0.04345674,0.0797808,0.63
0.03658868,-0.42939195,0.64
0.01459245,-0.07749278,0.63
0.03457191,0.20886461,0.56
0.03097539,-0.47813985,0.57
0.05865433,0.42234924,0.52
0.06736992,-0.16899177,0.58
0.05426519,0.10111913,0.56
0.01958556,-0.22139451,0.3
0.03713641,0.66870618,0.52
0.04461607,0.05037481,0.73
0.02328191,-0.71816123,0.56
0.06169427,0.17141829,0.47
0.07711875,-0.39602587,0.65
0.06225893,0.24761969,0.3
0.06510003,0.00824078,0.47
0.11721797,-0.67511755,0.31
0.05457434,0.17006953,0.51
0.03938177,0.23630083,0.63
0.03939366,0.17835583,0.58
0.04274556,0.34344763,0.39
0.0566454,-0.70332819,0.37
0.07152533,-0.16816027,0.54
0.0432306,-0.18183097,0.47
0.03359489,-0.00708253,0.42
0.00887002,-0.17596188,0.62
0.06034649,0.09130505,0.5
0.04239627,0.23319322,0.53
0.06360459,0.47442505,0.32
0.04195648,0.22057101,0.28
0.03357466,-0.14867206,0.54
0.05115021,-0.23634969,0.55
0.07084189,0.51054156,0.68
0.04289978,-0.54327649,0.76
0.04448486,0.08700753,0.7
0.03717277,-0.67817301,0.65
0.10041479,-0.11242702,0.61
0.04190955,-0.29287335,0.67
0.04000312,0.49358913,0.55
0.06623162,-0.4412795,0.58
0.04076672,0.38986936,0.69
0.04805298,0.10109019,0.61
0.07234679,0.17690694,0.78
0.0878752,0.5213539,0.8
0.08029614,0.52920818,0.85
0.02189691,-0.37138912,0.64
0.05681501,0.13432246,0.46
0.0334111,-0.87971807,0.59
0.02550462,-0.12744389,0.62
0.06041713,0.17366633,0.65
0.03628747,-0.15454534,0.78
0.0765773,1.56936395,0.59
0.02689144,-0.40548551,0.61
0.09220472,-0.347155,0.61
0.06161902,0.49536747,0.62
0.03510454,-0.37724268,0.65
0.05117545,0.71073478,0.64
0.02859605,-0.64841753,0.64
0.03393798,-0.23459868,0.48
0.04605345,0.49814734,0.61
0.08312564,-0.3307437,0.61
0.05305345,0.25832024,0.62
0.05065215,-0.41673648,0.64
0.03384146,-0.42904949,0.67
0.03036695,-0.04652855,0.6
0.04485638,-0.28646299,0.72
0.04596968,-0.00706028,0.6
0.07322867,-0.00733088,0.68
0.03629754,-0.46036863,0.6
0.03074511,-0.39331713,0.63
0.03173922,0.50589317,0.74
0.03369293,-0.09633002,0.66
0.05912897,0.64602405,0.56
0.04514944,0.22845334,0.62
0.05882792,-0.01972859,0.42
0.04034821,0.10799194,0.57
0.04188084,-0.51582748,0.59
0.04207112,-0.28854299,0.64
0.05283478,0.41645578,0.64
0.03593239,0.36129943,0.66
0.04546243,0.18580309,0.61
0.04458454,0.30460036,0.49
0.05320419,0.61474842,0.62
0.07456063,-0.55001378,0.6
0.04807605,-0.0483225,0.63
0.05218401,0.43270791,0.57
0.05922611,0.21066889,0.66
0.0575726,0.34446314,0.66
0.03472781,-0.21052466,0.77
0.0284278,-0.57307881,0.62
0.05111318,0.28970152,0.64
0.07569082,-0.00761151,0.65
0.11847232,-0.62092936,0.7
0.03747101,-0.34424147,0.6
0.05477625,1.0072422,0.64
0.02097422,-0.45009691,0.64
0.06612158,-0.35776055,0.8
0.01928546,-0.5719744,0.63
0.03608146,-0.17335969,0.53
0.03799005,-0.35541573,0.81
0.09114908,0.56868923,0.8
0.0783438,1.14215362,0.6
0.02615731,-0.22356279,0.43
0.05873017,0.41259003,0.72
0.06033186,-0.29573789,0.6
0.02799957,-0.36156744,0.72
0.05588976,-0.1805286,0.68
0.06138584,-0.07290398,0.68
0.0178237,-0.19275588,0.61
0.08202184,0.52789986,0.71
0.03729487,0.22773208,0.38
0.0490912,0.48398131,0.77
0.03987112,-0.59119326,0.7
0.03770941,0.11238362,0.6
0.06675205,0.34970897,0.5
0.06323478,0.14801954,0.67
0.07067312,0.15836628,0.76
0.03930651,-0.30429244,0.72
0.03823392,-0.1989051,0.46
0.04390769,-0.22918399,0.45
0.03828108,0.06004205,0.56
0.04663685,-0.49004096,0.79
0.04816053,0.03804497,0.81
0.06099928,-0.04035061,0.7
0.07806435,-0.09103823,0.66
0.08234517,1.11072361,0.67
0.0595682,0.22429937,0.67
0.03760672,0.43454638,0.66
0.03778863,-0.53443992,0.59
0.03599897,0.24057436,0.71
0.06853791,0.68445098,0.77
0.07965659,1.1402241,0.58
0.02651639,-0.08182605,0.6
0.03617425,0.23303245,0.78
0.03552115,-0.28883389,0.75
0.06086447,0.00219631,0.65
0.05691452,0.37288415,0.8
0.03741868,-0.3679603,0.81
0.05832196,-0.03707849,0.49
0.03399355,-0.23946783,0.69
0.0561479,-0.35444105,0.75
0.08130646,0.58922803,0.67
0.03666966,-0.47376218,0.6
0.06634134,0.38750631,0.83
0.04281063,0.03280793,0.68
0.03435871,0.1382374,0.77
0.04083906,0.39060715,0.76
0.06120357,-0.27212793,0.73
0.03701508,-0.42144781,0.67
0.06165582,0.02729036,0.61
0.07459851,0.58076811,0.66
0.05969048,0.2203031,0.69
0.03455526,-0.39594856,0.81
0.03901304,0.23581412,0.65
0.04923294,0.40407309,0.52
0.04153201,-0.16801192,0.77
0.04265393,-0.43225348,0.72
0.06933906,-0.00287455,0.66
0.05086851,-0.16079088,0.67
0.01563606,-0.48061407,0.79
